title,offer_details,valid_until,product_url,image_url,scraped_at
Coca-Cola Zero Sugar Coke Soft drink 15 x 330 ml,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/zero-sugar-coke-soft-drink-15-x-330-ml/05245197.html,https://cdn.carrefour.eu/420_05245197_T596.webp,2026-02-01 19:56:18
Coca-Cola Coke Soft drink 15 x 330 ml,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/coke-soft-drink-15-x-330-ml/04897111.html,https://cdn.carrefour.eu/420_04897111_M1_20250115.webp,2026-02-01 19:56:18
"Coca-Cola Zero Sprankelend 1,5L 8x",-33.34% voor 18,2026-02-09,https://www.carrefour.be/nl/zero-sprankelend-15l-8x/06953788.html,https://cdn.carrefour.eu/420_06953788_M1_20240618.webp,2026-02-01 19:56:18
"Coca-Cola Pet 1,5L 8x",-33.34% voor 18,2026-02-09,https://www.carrefour.be/nl/pet-15l-8x/06953746.html,https://cdn.carrefour.eu/420_06953746_M1_20240618.webp,2026-02-01 19:56:18
Jupiler Blond Bier Pils 5.2% Alc 24 x 25 cl bak,-20.0% voor 2,2026-02-09,https://www.carrefour.be/nl/blond-bier-pils-5.2-alc-24-x-25-cl-bak/00165431.html,https://cdn.carrefour.eu/420_00165431_M1_20240610.webp,2026-02-01 19:56:18
"Pampers Premium Protection Maat 5, 80 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-5-80-luiers/07178345.html,https://cdn.carrefour.eu/420_07178345_T596.webp,2026-02-01 19:56:18
"Pampers Premium Protection Maat 6, 70 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-6-70-luiers/07178458.html,https://cdn.carrefour.eu/420_07178458_T596.webp,2026-02-01 19:56:18
"Pampers Premium Protection Maat 4, 90 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-4-90-luiers/07178343.html,https://cdn.carrefour.eu/420_07178343_T596.webp,2026-02-01 19:56:18
"Pampers Premium Protection Maat 3, 112 Luiers",-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/premium-protection-maat-3-112-luiers/07178342.html,https://cdn.carrefour.eu/420_07178342_T596.webp,2026-02-01 19:56:18
Cava La pasión Brut Wit 75cl,1 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/la-pasi%C3%B3n-brut-wit-75cl/06284471.html,https://cdn.carrefour.eu/420_06284471.webp,2026-02-01 19:56:18
Teisseire Grenadine Siroop 60cl,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/grenadine-siroop-60cl/06413237.html,https://cdn.carrefour.eu/420_06413237_T597.webp,2026-02-01 19:56:18
Piedboeuf Tafelbier Bruin Fles 75 cl,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/tafelbier-bruin-fles-75-cl/00166162.html,https://cdn.carrefour.eu/420_00166162_T1.webp,2026-02-01 19:56:18
"Philadelphia Plantaardige Spread met amandelen en haver, veganistisch, vlootje 145 g",-25.0% voor 2,2026-02-09,https://www.carrefour.be/nl/plantaardige-spread-met-amandelen-en-haver-veganistisch-vlootje-145-g/07098873.html,https://cdn.carrefour.eu/420_07098873_T1.webp,2026-02-01 19:56:18
Nivea Shower Oil 200 ml,-33.34% voor 6,2026-02-09,https://www.carrefour.be/nl/shower-oil-200-ml/05450835.html,https://cdn.carrefour.eu/420_05450835_T1.webp,2026-02-01 19:56:18
LU PiM's koekjes sinaasappel 150g,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/pims-koekjes-sinaasappel-150g/00144276.html,https://cdn.carrefour.eu/420_00144276_T1.webp,2026-02-01 19:56:18
Philadelphia Specialiteit van verse kaas Original vlootje 235 g,-25.0% voor 2,2026-02-09,https://www.carrefour.be/nl/specialiteit-van-verse-kaas-original-vlootje-235-g/06081892.html,https://cdn.carrefour.eu/420_06081892_T1.webp,2026-02-01 19:56:18
Philadelphia Specialiteit van verse kaas Knoflook & Fijne Kruiden Light vlootje 185 g,-25.0% voor 2,2026-02-09,https://www.carrefour.be/nl/specialiteit-van-verse-kaas-knoflook-and-fijne-kruiden-light-vlootje-185-g/06152601.html,https://cdn.carrefour.eu/420_06152601_T1.webp,2026-02-01 19:56:18
Carrefour The Market Verse Zeeuwse Mosselen Impérial 1 kg,1 + 1 gratis,2026-02-03,https://www.carrefour.be/nl/the-market-verse-zeeuwse-mosselen-imperial-1-kg/03202280.html,https://cdn.carrefour.eu/420_03202280_20160919_09_PM.webp,2026-02-01 19:56:18
Spa REINE Niet-Bruisend Natuurlijk Mineraalwater 6x1.5L,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/reine-niet-bruisend-natuurlijk-mineraalwater-6x1.5l/01731957.html,https://cdn.carrefour.eu/420_01731957_T597.webp,2026-02-01 19:56:18
Lotus Biscoff Speculoos 6 Granen 2st x 10,-25.0% voor 4,2026-02-09,https://www.carrefour.be/nl/speculoos-6-granen-2st-x-10/01061884.html,https://cdn.carrefour.eu/420_01061884_T517.webp,2026-02-01 19:56:18
Carrefour The Market Traiteur World Kip Rode Curry 350 g,,,https://www.carrefour.be/nl/the-market-traiteur-world-kip-rode-curry-350-g/05282892.html,https://cdn.carrefour.eu/420_05282892_M1_20240130.webp,2026-02-01 19:56:18
Dettol 2in1 hygienische doekjes 12 stuks,-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/2in1-hygienische-doekjes-12-stuks/06217431.html,https://cdn.carrefour.eu/420_06217431_05410036303856_C1N1_MPM.webp,2026-02-01 19:56:18
Nivea 3-in-1 Reinigingsdoekjes Droge Huid 25 Doekjes,-33.34% voor 6,2026-02-09,https://www.carrefour.be/nl/3-in-1-reinigingsdoekjes-droge-huid-25-doekjes/06616667.html,https://cdn.carrefour.eu/420_06616667_T1.webp,2026-02-01 19:56:18
Carrefour Selection Noord-Hollandse Gouda Jong Sneetjes 200 g,-25.0% voor 2,2026-02-02,https://www.carrefour.be/nl/noord-hollandse-gouda-jong-sneetjes-200-g/06312521.html,https://cdn.carrefour.eu/420_06312521_M1_20250926.webp,2026-02-01 19:56:18
Canderel Zoetstof 100 Sticks,-25.0% voor 2,2026-02-09,https://www.carrefour.be/nl/zoetstof-100-sticks/04026200.html,https://cdn.carrefour.eu/420_04026200_03329750021002_A1L1_MPM.webp,2026-02-01 19:56:18
Original Wagner Wagner Big Sensation Beef Jalapeños 450 g,Online only : 2 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/wagner-big-sensation-beef-jalape%C3%B1os-450-g/07255869.html,https://cdn.carrefour.eu/420_07255869_T1.webp,2026-02-01 19:56:18
Fristi Rood Fruit Smaak 6 x 200 ml,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/rood-fruit-smaak-6-x-200-ml/05496442.html,https://cdn.carrefour.eu/420_05496442_T597.webp,2026-02-01 19:56:18
Columbus Pic-Nic Hardgekookte Eieren 4 Stuks 200 g,5 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/pic-nic-hardgekookte-eieren-4-stuks-200-g/05957758.html,https://cdn.carrefour.eu/420_05957758_T1.webp,2026-02-01 19:56:18
Nivea Q10 Anti-Rimpel Power Voedende Nachtcrème 50 ml,-33.34% voor 6,2026-02-09,https://www.carrefour.be/nl/q10-anti-rimpel-power-voedende-nachtcreme-50-ml/05507100.html,https://cdn.carrefour.eu/420_05507100_T1.webp,2026-02-01 19:56:18
Carrefour Precision 3 4 Stuks,-25.0% voor 4,2026-02-02,https://www.carrefour.be/nl/precision-3-4-stuks/06492539.html,https://cdn.carrefour.eu/420_06492539_M1_20231011.webp,2026-02-01 19:56:18
Carrefour The Market Nuts & Fruits Snacking Gesuikerde Pinda's 180 g,-25.0% voor 4,2026-12-31,https://www.carrefour.be/nl/the-market-nuts-and-fruits-snacking-gesuikerde-pindas-180-g/06085575.html,https://cdn.carrefour.eu/420_06085575_M1_20230322.webp,2026-02-01 19:56:18
Always Maxi Night Maandverband (Maat 3) Vleugels X16,-40.0% voor 5,2026-02-09,https://www.carrefour.be/nl/maxi-night-maandverband-maat-3-vleugels-x16/06785062.html,https://cdn.carrefour.eu/420_06785062_T596.webp,2026-02-01 19:56:18
LEGO DUPLO 10913 Opbergdoos 18M+,1 + 1 gratis,2026-02-02,https://www.carrefour.be/nl/duplo-10913-opbergdoos-18m/06332477.html,https://cdn.carrefour.eu/420_74345885_5273144373.webp,2026-02-01 19:56:18
Doritos Nacho Cheese Tortilla Chips 170 gr,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/nacho-cheese-tortilla-chips-170-gr/06786911.html,https://cdn.carrefour.eu/420_06786911_T596.webp,2026-02-01 19:56:18
Jordan Junior 6-12 Milde Frugtige Smaak Tandpasta 50 ml,2 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/junior-6-12-milde-frugtige-smaak-tandpasta-50-ml/05929490.html,https://cdn.carrefour.eu/420_05929490_T1.webp,2026-02-01 19:56:18
KitKat Ontbijtgranen,-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/ontbijtgranen/06964840.html,https://cdn.carrefour.eu/420_06964840_T517.webp,2026-02-01 19:56:18
Vahiné Gelatinepoeder 5 x 6 g,2 + 1 gratis,2026-02-02,https://www.carrefour.be/nl/gelatinepoeder-5-x-6-g/07097290.html,https://cdn.carrefour.eu/420_07097290_T1.webp,2026-02-01 19:56:18
Carrefour Gedroogd Deglet Nour Dadels 250 g,-25.0% voor 4,2026-12-31,https://www.carrefour.be/nl/gedroogd-deglet-nour-dadels-250-g/06085519.html,https://cdn.carrefour.eu/420_06085519_M1_20230321.webp,2026-02-01 19:56:18
Nivea Deodorant Fresh Natural 48h Protection 150 ml,-33.34% voor 6,2026-02-09,https://www.carrefour.be/nl/deodorant-fresh-natural-48h-protection-150-ml/06010564.html,https://cdn.carrefour.eu/420_06010564_T1.webp,2026-02-01 19:56:18
Carrefour The Market Trio Meloen 150 g,3 voor 5.0€,2026-12-31,https://www.carrefour.be/nl/the-market-trio-meloen-150-g/06656512.html,https://cdn.carrefour.eu/420_06656512_T1.webp,2026-02-01 19:56:18
Dove Advanced Care Anti-Transpirant Go Fresh 150 ml,-40.0% voor 5,2026-02-09,https://www.carrefour.be/nl/advanced-care-anti-transpirant-go-fresh-150-ml/06946207.html,https://cdn.carrefour.eu/420_06946207_T162.webp,2026-02-01 19:56:19
Aperol 100 cl,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/100-cl/05212945.html,https://cdn.carrefour.eu/420_05212945_T1.webp,2026-02-01 19:56:19
Milka LEO Chocolade Wafels 400g,2 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/leo-chocolade-wafels-400g/05596556.html,https://cdn.carrefour.eu/420_05596556_T1.webp,2026-02-01 19:56:19
Air Wick Luchtverfrisser Magnolia en Kersenbloesem 75ml,-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/luchtverfrisser-magnolia-en-kersenbloesem-75ml/06953270.html,https://cdn.carrefour.eu/420_PRODUCT_IMAGE_03665468302607_C1N1.webp,2026-02-01 19:56:19
Carrefour The Market Cantaloupe 200 g,3 voor 5.0€,2026-12-31,https://www.carrefour.be/nl/the-market-cantaloupe-200-g/06654412.html,https://cdn.carrefour.eu/420_06654412_T1.webp,2026-02-01 19:56:19
"Clipper Organic Lemongrass, Eucalyptus & Ginkgo Infusion 20 Zakjes 35 g",2 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/organic-lemongrass-eucalyptus-and-ginkgo-infusion-20-zakjes-35-g/06662712.html,https://cdn.carrefour.eu/420_06662712_T596.webp,2026-02-01 19:56:19
Got2b Powder'ful Volume Styling powder,2 + 1 gratis,2026-02-09,https://www.carrefour.be/nl/powderful-volume-styling-powder/06629689.html,https://cdn.carrefour.eu/420_06629689_M1_20240729.webp,2026-02-01 19:56:19
Alpro Plantaardige Sojadrink Chocoladesmaak – Lactosevrij – 50 g Eiwitten per Pak 1L,-50.0% voor 2,2026-02-09,https://www.carrefour.be/nl/plantaardige-sojadrink-chocoladesmaak-%E2%80%93-lactosevrij-%E2%80%93-50-g-eiwitten-per-pak-1l/06907042.html,https://cdn.carrefour.eu/420_06907042_T596.webp,2026-02-01 19:56:19
Carrefour Men Tonic Deodorant & Lichaamsspray Friszure Geur 150 ml,-25.0% voor 4,2026-02-02,https://www.carrefour.be/nl/men-tonic-deodorant-and-lichaamsspray-friszure-geur-150-ml/06974594.html,https://cdn.carrefour.eu/420_06974594_T1.webp,2026-02-01 19:56:19
Carrefour Men Marine Deodorant & Lichaamsspray Frisse Geur 150 ml,-25.0% voor 4,2026-02-02,https://www.carrefour.be/nl/men-marine-deodorant-and-lichaamsspray-frisse-geur-150-ml/06974575.html,https://cdn.carrefour.eu/420_06974575_T1.webp,2026-02-01 19:56:19
Scholl Voetmasker Aloe Vera,-25.0% voor 2,2026-02-09,https://www.carrefour.be/nl/voetmasker-aloe-vera/06614751.html,https://cdn.carrefour.eu/420_06614751_T1.webp,2026-02-01 19:56:19
Douwe Egberts Koffie Bonen Dessert 500 g,-25.0% voor 4,2026-02-09,https://www.carrefour.be/nl/koffie-bonen-dessert-500-g/00142706.html,https://cdn.carrefour.eu/420_00142706_T597.webp,2026-02-01 19:56:19
Lotus Frangipane gebakje 4x52g,-20.0% voor 3,2026-02-09,https://www.carrefour.be/nl/frangipane-gebakje-4x52g/06044001.html,https://cdn.carrefour.eu/420_06044001_05410126350913_H1N1_MPM.webp,2026-02-01 19:56:19
"Nescafé 3in1 Koffie, Creamer en Suiker 10 x 16.5 g",-25.0% voor 2,2026-02-09,https://www.carrefour.be/nl/3in1-koffie-creamer-en-suiker-10-x-16.5-g/06191100.html,https://cdn.carrefour.eu/420_06191100_T1.webp,2026-02-01 19:56:19
De Cecco Linguine N°7 Deegwaren van Griesmeel van Harde Tarwe 500 g,Hap uit de prijs,2027-02-28,https://www.carrefour.be/nl/linguine-n%C2%B07-deegwaren-van-griesmeel-van-harde-tarwe-500-g/00825016.html,https://cdn.carrefour.eu/420_00825016_T1.webp,2026-02-01 19:56:19
